name	aliases
accountant	accountant,accountants
actor	actor,actors,actress,actresses
aerospace engineer	aerospace engineer,aerospace engineers
animal trainer	animal trainer,animal trainers
archeologist	archeologist,archeologists
architect	architect,architects
artist	artist,artists
astronaut	astronaut,astronauts,cosmonaut,cosmonauts
athlete	athlete,athletes,sportsperson,sportsman,sportsmen,sportswoman,sportswomen
attorney	attorney,attorneys
author	author,authors
babysitter	babysitter,babysitters
baker	baker,bakers
banker	banker,bankers
barber	barber,barbers
bartender	bartender,bartenders
beekeeper	beekeeper,beekeepers
biologist	biologist,biologists
blacksmith	blacksmith,blacksmiths
boatman	boatman,boatmen,mariner,mariners
bodyguard	bodyguard,bodyguards
butcher	butcher,butchers
cab driver	cab driver,cab drivers,taxi driver,taxi drivers
cameraman	cameraman,cameramen
carpenter	carpenter,carpenters
cashier	cashier,cashiers
chauffeur	chauffeur,chauffeurs
chef	chef,chefs
chemist	chemist,chemists
civil engineer	civil engineer,civil engineers
clerk	clerk,clerks
comedian	comedian,comedians
composer	composer,composers
copywriter	copywriter,copywriters
delivery man	delivery man,delivery men
dentist	dentist,dentists
dermatologist	dermatologist,dermatologists
detective	detective,detectives
doctor	doctor,doctors,physician,physicians
dog walker	dog walker,dog walkers
doorman	doorman
electrical engineer	electrical engineer,electrical engineers
electrician	electrician,electricians
farmer	farmer,farmers
ferryman	ferryman,ferrymen
firefighter	firefighter,firefighters,fireman,firemen,fire fighter,fire fighters
fisherman	fisherman,fishermen
flight attendant	flight attendant,flight attendants,steward,stewards,stewardess,stewardesses
footballer	footballer,footballers
geologist	geologist,geologists
goldsmith	goldsmith,goldsmiths
guitarist	guitarist,guitarists
hairdresser	hairdresser,hairdressers
historian	historian,historians
housekeeper	housekeeper,housekeepers
janitor	janitor,janitors
journalist	journalist,journalists
judge	judge,judges
lawyer	lawyer,lawyers
librarian	librarian,librarians
magician	magician,magicians
mailman	mailman,mail carrier,postman
mathematician	mathematician,mathematicians
mechanic	mechanic,mechanics
merchant	merchant,merchants
monk	monk,monks
musician	musician,musicians
nanny	nanny,nannies,nursemaid,nursemaids
nurse	nurse,nurses
painter	painter,painters
pharmacist	pharmacist,pharmacists
philosopher	philosopher,philosophers
photographer	photographer,photographers
pianist	pianist,pianists
pilot	pilot,pilots,airman,airmen,aviator,aviators
police officer	police officer,police officers,policeman,policemen
politician	politician,politicians
priest	priest,priests
professor	professor,professors
programmer	programmer,programmers
receptionist	receptionist,receptionists
sailor	sailor,sailors
salesman	salesman,salesmen
scientist	scientist,scientists
sculptor	sculptor,sculptors
security guard	security guard,security guards
singer	singer,singers
software developer	software developer,software developers
software engineer	software engineer,software engineers
student	student,students
surgeon	surgeon,surgeons
tailor	tailor,tailors
teacher	teacher,teachers
technician	technician,technicians
therapist	therapist,therapists
tour guide	tour guide,tour guides
waiter	waiter,waiters,waitress,waitresses
writer	writer,writers
zookeeper	zookeeper,zookeepers
zoologist	zoologist,zoologists
